stateId,college_liberals_econLean,college_liberals_pop%,college_liberals_socLean,college_liberals_turnout%,evangelicals_econLean,evangelicals_pop%,evangelicals_socLean,evangelicals_turnout%,libertarians_econLean,libertarians_pop%,libertarians_socLean,libertarians_turnout%,new_immigrants_econLean,new_immigrants_pop%,new_immigrants_socLean,new_immigrants_turnout%,public_sector_econLean,public_sector_pop%,public_sector_socLean,public_sector_turnout%,retirees_econLean,retirees_pop%,retirees_socLean,retirees_turnout%,rural_traditionalists_econLean,rural_traditionalists_pop%,rural_traditionalists_socLean,rural_traditionalists_turnout%,secular_professionals_econLean,secular_professionals_pop%,secular_professionals_socLean,secular_professionals_turnout%,small_business_econLean,small_business_pop%,small_business_socLean,small_business_turnout%,soccer_moms_econLean,soccer_moms_pop%,soccer_moms_socLean,soccer_moms_turnout%,union_trades_econLean,union_trades_pop%,union_trades_socLean,union_trades_turnout%,young_renters_econLean,young_renters_pop%,young_renters_socLean,young_renters_turnout%
CT,-5,6,-5,66,3.6,9,4.7,75,5,6,1,64,-3,1,-2,40,-4.2,9,-4.2,65,-0.5,8,0.5,72,2.8,10,2.5,65,-4.2,6,-5,69,3.3,11,1.4,68,-2.2,15,-1.7,59,-4,13,-1.4,52,-4,5,-4,44
DE,-5,6,-5,66,3.6,9,4.7,75,5,5,1,64,-3,1,-2,40,-4.2,10,-4.2,65,-0.5,8,0.5,72,2.8,10,2.5,65,-4.2,5,-5,69,3.3,11,1.4,68,-2.2,14,-1.7,59,-3.9,15,-1.4,52,-4,5,-4,43
MA,-5,6,-5,66,3.5,9,4.6,75,5,5,1,64,-3,1,-2,40,-4.3,9,-4.3,65,-0.6,8,0.4,71,2.7,10,2.4,65,-4.3,6,-5,70,3.2,12,1.4,68,-2.3,14,-1.8,59,-3.9,12,-1.5,52,-4,5,-4,43
MD,-5,6,-5,66,3.7,9,4.8,75,5,5,1,64,-3,1,-2,40,-4.1,11,-4.1,65,-0.5,7,0.5,70,2.8,9,2.5,65,-4.1,6,-5,70,3.2,11,1.4,68,-2.1,15,-1.6,59,-4,15,-1.3,52,-4,5,-4,43
ME,-5,5,-5,66,3.6,11,4.7,75,5,7.02,1,64,-3,0,-2,39,-3.9,7.32,-3.9,65,-0.1,9,0.9,73,3.1,12,2.9,65,-3.9,5,-5,69,3.6,11,1.6,68,-1.9,14.24,-1.4,59,-3.6,13,-1.2,52,-4,5,-4,44
NH,-5,5,-5,66,3.6,10,4.7,75,5,8,1,64,-3,0,-2,39,-3.8,8,-3.8,65,0.1,9,1.1,72,3.3,12,3.1,65,-3.8,5,-5,69,3.7,12,1.6,68,-1.8,15,-1.3,59,-3.6,12,-1.1,52,-4,4,-4,44
NJ,-5,6,-5,66,3.6,8,4.7,75,5,5,1,64,-3,1,-2,40,-4.2,10,-4.2,65,-0.5,8,0.5,71,2.8,9,2.5,65,-4.2,6,-5,70,3.3,11,1.4,68,-2.2,15,-1.7,59,-3.9,14,-1.4,52,-4,5,-4,43
NY,-5,6,-5,66,3.6,9,4.7,75,5,5,1,64,-3,1,-2,40,-4.1,10,-4.1,65,-0.4,8,0.6,71,2.9,10,2.6,65,-4.1,5,-5,70,3.3,11,1.4,68,-2.1,14,-1.6,59,-3.9,14,-1.3,52,-4,5,-4,43
PA,-4.5,4,-5,66,4.2,13,5,75,5,6.25,1,64,-3,0,-2,39,-3,7.53,-3,65,0.9,9,1.9,72,3.9,12,3.9,65,-3,4,-4.5,69,3.8,11,2,68,-1,14.47,-0.5,59,-3.2,14,-0.5,52,-4,5,-4,44
RI,-5,6,-5,66,3.5,9,4.6,75,5,6,1,64,-3,1,-2,40,-4.2,9,-4.2,65,-0.5,8,0.5,71,2.8,10,2.5,65,-4.2,5,-5,69,3.3,11,1.4,68,-2.2,15,-1.7,59,-3.9,13,-1.4,52,-4,5,-4,43
